compid;compid;composito;holeid;midx;midy;midz;sampleid;campana;starkey_min;bwi_kwh_tc;bwi_kwh_tm;ai_;rec_cut_pct;rec_as_pct;rec_ag_pct;rec_zn_pct;rec_peso_pct;velsed_cf12_mh;pct_sol_finalescf;velsed_sflo_mh;sol_finalessf_pct;ys54pct_pa;ys57pct_pa;ys60pct_pa;ph_natural;lito;alte;piso;uge;ind88;ugm_starkey;ugm_wi;ugm_rec_cu;ugm_rec_as;ugm_rec_ag;ugm_rec_ag_a;ugm_rec_zn;ugm_velsed;ugm_ys;kcuklimpel;kagklimpel;kcugz;kaggz;recmasicacf_12min;recmasicatf_12min;bo;cs;cpy;cv;esf;en;py;tetra;ten;ag;as;au;cut;cus;fet;mo;pb;sb;zn
compid;compid;PGD-001;MHDD0080;8909.158;24374.246;2185.868;MGM-17909;PGD2016;57.3;13.4;14.8;-99;95.1;97.1;86.4;82.1;33.92;5.3;50.05;0.13;40.22;3.11;6.23;10.06;-99;Andesita;Argilica Ava;BAS;C5;1;5;5;4;4;5;5;2;6;6;-99;-99;0.39;-99;35.887;33.921;0;0.23;0.01;0.05;0.52;0.18;12.36;0.01;0.11;0.001;0.041;0.02;0.67;0.05;11.06;0.002;0.081;0.004;0.264
compid;compid;PGD-002;MHDD0048;9259.781;24442.823;2092.54;MGM-17910;PGD2016;31.5;11.6;12.8;-99;95.9;95.1;94.7;66.7;25.62;5.5;48.16;0.04;20.27;14.83;23.93;70.03;-99;Granodiorita;Argilica Ava;AAS;C1;1;4;4;4;3;4;4;3;5;6;-99;-99;0.57;-99;27.737;25.617;0;0.51;0.08;0.09;0.96;0.09;7.84;0.01;0.29;0.001;0.05;0.04;0.95;0.03;4.09;0.001;0.264;0.003;1.026
compid;compid;PGD-003;MHDD0048;9266.329;24442.385;2076.587;MGM-17911;PGD2016;21.4;9.7;10.7;-99;92.1;94.9;90.9;90.3;22.05;2.7;41.52;0.03;18.15;14.63;27.81;35.03;-99;Granodiorita;Argilica Ava;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.45;-99;19.098;22.05;0;0.56;0.04;0;1.36;0.19;9.76;0.02;0.23;0.002;0.072;0.05;0.23;0.05;4.84;0.001;0.232;0.005;0.721
compid;compid;PGD-004;MHDD0048;9269.506;24442.184;2068.977;MGM-17912;PGD2016;25.3;12.6;13.9;-99;93;94.6;76.5;92.4;17.5;5.2;49.13;0.03;18.67;14.57;19.47;36.43;-99;Granodiorita;Filica;AAS;C5;1;3;3;3;3;3;3;3;23;3;-99;-99;0.36;-99;18.932;17.499;0;0.73;0.1;0;1.17;0.17;8.09;0.01;0.2;0.002;0.052;0.06;0.69;0.03;6.46;0.001;0.206;0.003;0.694
compid;compid;PGD-005;MHDD0078;8888.311;24424.422;2225.942;MGM-17913;PGD2016;41.1;14.2;15.7;-99;92.9;96.3;73.8;78.9;14.46;6.8;52.37;0.05;26.05;6.22;16.55;45.04;-99;Andesita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;6;5;-99;-99;0.45;-99;18.33;14.456;0;0.75;0.01;0;0.37;0.11;6.44;0.01;0.25;0.001;0.091;0.07;0.64;0.08;3.06;0.001;0.146;0.006;0.198
compid;compid;PGD-006;MHDD0079;8998.729;24423.706;2231.681;MGM-17914;PGD2016;35.4;11.7;12.9;-99;93.8;93.5;88.4;87.4;22.4;4.1;43.17;0.03;20.29;8.84;13.38;17.2;-99;Andesita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;6;5;-99;-99;0.64;-99;22.466;22.401;0;0.49;0.04;0;0.3;0.15;9.27;0.01;0.24;0.001;0.091;0.04;0.66;0.04;4.29;0.001;0.094;0.007;0.19
compid;compid;PGD-007;MHDD0030;8940.85;24472.211;2195.929;MGM-17915;PGD2016;43.8;13.8;15.3;-99;94.7;94.7;63.1;84.4;18.25;3;48.88;0.07;36.64;3.5;6.82;9.1;-99;Andesita;Argilica Ava;AAS;C1;1;4;4;4;3;4;4;3;6;6;-99;-99;0.39;-99;15.4;18.248;0;0.32;0.03;0;0.4;0.33;9.66;0.01;0.51;0.001;0.184;0.04;1.04;0.05;5.72;0.001;0.082;0.006;0.267
compid;compid;PGD-008;MHDD0030;8942.918;24472.097;2187.17;MGM-17916;PGD2016;37.8;13.1;14.4;-99;94.2;97.1;85.5;90.2;24.37;12;59.05;0.14;44.34;3.9;7.43;10.12;-99;Andesita;Argilica Ava;AAS;C1;1;4;4;4;3;4;4;3;6;6;-99;-99;0.31;-99;21.771;24.371;0;0.1;0.01;0;0.5;0.25;9.64;0.01;0.46;0.001;0.138;0.04;0.84;0.03;4.8;0.001;0.119;0.003;0.399
compid;compid;PGD-009;MHDD0049;9327.138;24445.367;2096.878;MGM-17917;PGD2016;32.3;13.7;15.1;-99;96.1;96.5;92.7;92.6;21.13;5;54.15;0.06;32.09;6.15;7.39;14.15;-99;Granodiorita;Argilica Ava;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.35;-99;19.084;21.127;0;0.61;0.03;0;0.52;0.59;7.46;0.23;0.43;0.002;0.069;0.06;0.98;0.12;3.2;0.001;0.128;0.069;0.486
compid;compid;PGD-010;MHDD0031;8921.769;24518.519;2177.349;MGM-17918;PGD2016;44.1;13.1;14.4;-99;97.3;97.1;92.9;93.7;30.25;11.2;55.25;0.13;39.33;3.6;14.04;17.77;-99;Brecha Hidro;Argilica Ava;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.11;-99;11.704;30.254;0.26;0.4;0.08;0.17;0.49;0.69;14.22;0.04;0.75;0.002;0.161;0.02;1.6;0.08;7.86;0.001;0.041;0;0.286
